Listing Name,Price,Room Type,Reviews,Location
The City of Caliphs inside!,18,Private room,36 reviews,Córdoba
CENTRAL ROOM WITH OWN BATH/TERRACE,20,Private room,6 reviews,Córdoba
HomeSuiteHome Córdoba,100,Entire home/apt,7 reviews,Córdoba
Charming private Suite&bath.Parking,80,Private room,12 reviews,Córdoba
PENTHOUSE WITH MAGNIFICENT VIEWS BB,58,Entire home/apt,139 reviews,Córdoba
COZY APARTMENT BY THE MOSQUE. WIFI,56,Entire home/apt,116 reviews,Córdoba
Boutique guesthouse in Córdoba,40,Private room,51 reviews,Córdoba
Habitación con dos camas en piso,16,Private room,38 reviews,Córdoba
PENTHOUSE TERRACE CORDOBA´S MOSQUE,65,Entire home/apt,76 reviews,Córdoba
ATTIC IN CENTER WITH TERRACE,62,Entire home/apt,64 reviews,Córdoba
Apartamento céntrico en Córdoba,75,Entire home/apt,24 reviews,Córdoba
Best Priced Room in Historic Centre,22,Private room,15 reviews,Córdoba
"Con encanto, centrico y con vistas",70,Entire home/apt,21 reviews,Córdoba
APARTAMENTO TIPO LOFT CON PARKING,46,Entire home/apt,52 reviews,Córdoba
1 single room for 1 person,21,Private room,90 reviews,Córdoba
Entire house in beautiful landmark,120,Entire home/apt,91 reviews,Córdoba
SPACIOUS FLAT OLD PUERTA ALMODOVAR,55,Entire home/apt,27 reviews,Córdoba
"R&C, quietness in the city center",75,Entire home/apt,32 reviews,Córdoba
Apartment centric 2-7 personas,45,Entire home/apt,38 reviews,Córdoba
COZY APARTMENT BY THE MOSQUE. WIFI,56,Entire home/apt,116 reviews,Córdoba
House with mosque,60,Entire home/apt,61 reviews,Córdoba
Boutique guesthouse in Córdoba,40,Private room,51 reviews,Córdoba
PENTHOUSE WITH MAGNIFICENT VIEWS BB,58,Entire home/apt,139 reviews,Córdoba
Appartment in the Mosque,55,Entire home/apt,83 reviews,Córdoba
"""Enchantment in Patio Cordobés""",60,Entire home/apt,118 reviews,Córdoba
Studio (2p) in medieval house(WIFI),29,Entire home/apt,3 reviews,Córdoba
"Con encanto, centrico y con vistas",70,Entire home/apt,21 reviews,Córdoba
"DUPLEX  ,CORDOBA, ANDALUSIA,SPAIN",40,Entire home/apt,51 reviews,Córdoba
Double room medieval house (WIFI),23,Private room,6 reviews,Córdoba
Best Priced Room in Historic Centre,22,Private room,15 reviews,Córdoba
Charming studio w/ bathroom&parking,45,Private room,161 reviews,Córdoba
CENTRAL ROOM WITH OWN BATH/TERRACE,20,Private room,6 reviews,Córdoba
OLD CONVENT & WiFi,57,Entire home/apt,101 reviews,Córdoba
PENTHOUSE TERRACE CORDOBA´S MOSQUE,65,Entire home/apt,76 reviews,Córdoba
Enjoy the flavor of arab heritage!,32,Private room,22 reviews,Córdoba
the Temple apartment,55,Private room,22 reviews,Córdoba
studio with terrace downtown wifi,55,Entire home/apt,71 reviews,Córdoba
Enjoy the flavor of arab heritage!,32,Private room,22 reviews,Córdoba
House with mosque,60,Entire home/apt,61 reviews,Córdoba
Appartment in the Mosque,55,Entire home/apt,83 reviews,Córdoba
Apartment downtown & Terrace,62,Entire home/apt,36 reviews,Córdoba
PENTHOUSE WITH MAGNIFICENT VIEWS BB,58,Entire home/apt,139 reviews,Córdoba
CENTRAL ROOM WITH OWN BATH/TERRACE,20,Private room,6 reviews,Córdoba
COZY APARTMENT BY THE MOSQUE. WIFI,56,Entire home/apt,116 reviews,Córdoba
APARTAMENTO TIPO LOFT CON PARKING,46,Entire home/apt,52 reviews,Córdoba
Best Priced Room in Historic Centre,22,Private room,15 reviews,Córdoba
The perfect apartment and location,50,Entire home/apt,29 reviews,Córdoba
"""Enchantment in Patio Cordobés""",60,Entire home/apt,118 reviews,Córdoba
Charming studio w/ bathroom&parking,45,Private room,161 reviews,Córdoba
Boutique guesthouse in Córdoba,40,Private room,51 reviews,Córdoba
precioso ático con vistas Mezquita.,70,Entire home/apt,12 reviews,Córdoba
"Apt. Charming Typical Patio, 3 pers",35,Entire home/apt,73 reviews,Córdoba
Apartment centric 2-7 personas,45,Entire home/apt,38 reviews,Córdoba
APARTAMENTO CASCO HISTORICO,42,Entire home/apt,37 reviews,Córdoba
